Country,Year,Nuclear,Solar,Wind,Hydroelectricity,"Generation-Geothermal, Biomass and Other",Oil,Coal,Gas
Canada,1965,0.0008460236886632827,0.0,0.0,0.9991539763113367,0.0,0.0,0.0,0.0
Canada,1966,0.0015243902439024393,0.0,0.0,0.9984756097560976,0.0,0.0,0.0,0.0
Canada,1967,0.0014914243102162566,0.0,0.0,0.9985085756897838,0.0,0.0,0.0,0.0
Canada,1968,0.0065645514223194755,0.0,0.0,0.9934354485776805,0.0,0.0,0.0,0.0
Canada,1969,0.0033090668431502318,0.0,0.0,0.9966909331568498,0.0,0.0,0.0,0.0
Canada,1970,0.006285355122564425,0.0,0.0,0.9937146448774355,0.0,0.0,0.0,0.0
Canada,1971,0.025779376498800955,0.0,0.0,0.974220623501199,0.0,0.0,0.0,0.0
Canada,1972,0.038135593220338986,0.0,0.0,0.9618644067796611,0.0,0.0,0.0,0.0
Canada,1973,0.07285714285714286,0.0,0.0,0.927142857142857,0.0,0.0,0.0,0.0
Canada,1974,0.06521739130434782,0.0,0.0,0.9347826086956522,0.0,0.0,0.0,0.0
Canada,1975,0.058577405857740586,0.0,0.0,0.9414225941422595,0.0,0.0,0.0,0.0
Canada,1976,0.07538994800693241,0.0,0.0,0.92157712305026,0.0030329289428076256,0.0,0.0,0.0
Canada,1977,0.10626262626262627,0.0,0.0,0.8892929292929292,0.0044444444444444444,0.0,0.0,0.0
Canada,1978,0.11659192825112107,0.0,0.0,0.8792974588938715,0.004110612855007474,0.0,0.0,0.0
Canada,1979,0.1257570359814749,0.0,0.0,0.8696116850730318,0.00463127894549341,0.0,0.0,0.0
Canada,1980,0.13085399449035812,0.0,0.0,0.8646694214876032,0.004476584022038567,0.0,0.0,0.0
Canada,1981,0.1301948051948052,0.0,0.0,0.8636363636363636,0.006168831168831168,0.0,0.0,0.0
Canada,1982,0.12843729040912136,0.0,0.0,0.8645204560697517,0.00704225352112676,0.0,0.0,0.0
Canada,1983,0.153457530786233,0.0,0.0,0.8399115882538679,0.006630880959898958,0.0,0.0,0.0
Canada,1984,0.15325895478567234,0.0,0.0,0.8399882560187903,0.006752789195537286,0.0,0.0,0.0
Canada,1985,0.13186573670444637,0.0,0.0,0.6617262423714037,0.0037053182214472533,0.014821272885789013,0.17306015693112467,0.014821272885789013
Canada,1986,0.15218783351120596,0.0,0.0,0.6629669156883672,0.004055496264674493,0.013233724653148347,0.1528281750266809,0.014727854855923159
Canada,1987,0.15575256901067902,0.0,0.0,0.6371146483981462,0.00463429377392706,0.020350594398549263,0.1696554503324602,0.012492444086238163
Canada,1988,0.16389877421905893,0.0,0.0,0.6077500988533017,0.00494266508501384,0.023329379201265325,0.18149466192170818,0.01858442071965204
Canada,1989,0.15926892950391644,0.0,0.0,0.5832496485237999,0.007029524000803374,0.03655352480417755,0.18417352882104843,0.029724844346254272
Canada,1990,0.15085310029130256,0.0,0.0,0.6152725759467332,0.008322929671244279,0.03433208489388265,0.17103620474406994,0.020183104452767373
Canada,1991,0.16633780584056823,0.0,0.0,0.6063535911602209,0.007892659826361483,0.027821625887924226,0.1746250986582478,0.016969218626677187
Canada,1992,0.15429122468659595,0.0,0.00019286403085824494,0.607907425265188,0.008678881388621022,0.030086788813886208,0.17357762777242045,0.025265188042430085
Canada,1993,0.1760045274476514,0.0,0.0001886436521411055,0.6078098471986418,0.009054895302773062,0.02263723825693266,0.15544236936427092,0.02886247877758914
Canada,1994,0.19367088607594934,0.0,0.00018083182640144665,0.5929475587703436,0.01030741410488246,0.018264014466546113,0.15678119349005426,0.027848101265822784
Canada,1995,0.17469446441409056,0.0,0.0001797268152408339,0.6004672897196262,0.012760603882099207,0.011322789360172536,0.16462976276060384,0.035945363048166784
Canada,1996,0.16160729952623268,0.0,0.00017546938059308652,0.6222144235830848,0.013160203544481488,0.012984734163888402,0.1572205650114055,0.03263730479031409
Canada,1997,0.14368319607499563,0.0,0.00017522340984755567,0.6110040301384265,0.014368319607499562,0.021026809181706678,0.16979148414228143,0.03995093744524269
Canada,1998,0.12671782973407103,0.0,0.00017847581652686063,0.5905764768873818,0.016062823487417457,0.030162412993039442,0.18918436551847226,0.0471176155630912
Canada,1999,0.1267361111111111,0.0,0.00034722222222222224,0.5989583333333334,0.01545138888888889,0.025694444444444447,0.184375,0.048437499999999994
Canada,2000,0.1200996677740864,0.0,0.0004983388704318937,0.5926910299003324,0.014784053156146183,0.02225913621262459,0.19086378737541532,0.058803986710963464
Canada,2001,0.13005632360471073,0.0,0.0005120327700972863,0.5657962109575014,0.01655572623314559,0.027137736815156178,0.1885987369858338,0.07134323263355523
Canada,2002,0.12546002007360318,0.0,0.0006691201070592171,0.5843091334894613,0.016728002676480426,0.025593844095015052,0.18300434928069587,0.06423553027768483
