Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Netherlands,-,-,-,^,0.3,0.4,0.4,0.3,1.1,3.3,3.3,3.9,3.7,4.1,3.5,4.2,3.7,3.9,3.6,3.7,3.9,4.2,3.6,3.7,4,3.5,3.3,3.8,3.9,4,4,4.2,2.4,3.8,3.8,3.9,4,3.9,4,3.8,4,3.5,4.2,4.2,4.2,4,4.1,3.9,2.9,4.1,4.1,4,3.4,3.5,3.9
North Macedonia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,5.4,5.3,5.2,5.5,5.4,5.5,4.9,5.5,5.6,5.6,7.7,11.2,11.8,11.6,11.7,11.5,11.6,11.7,11.6,11.3,11.5,11.4,11.3
Slovakia,-,-,-,-,-,-,-,^,0.2,0.5,0.2,0.4,0.1,^,2.1,4.5,5.1,5.8,6.2,7.2,9.4,11.7,11.5,11.5,12.2,12,11.7,11.1,11.5,12.6,11.4,11.2,11.1,11.4,13.1,16.5,17.1,18,17.9,17,17.7,18,15.3,16.7,14.1,14.6,15.4,15.5,15.7,15.5,15.1,14.8,15.1,14.8,15.5
Slovenia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.6,5,4,4,4.6,4.8,4.6,5,5,4.7,4.8,5.3,5.5,5.2,5.5,5.9,5.5,5.7,6.3,5.7,5.7,6.2,5.5,5.3,6.4,5.6,5.7,6.3,5.8,5.8
Spain,-,-,-,0.1,0.8,0.9,2.5,4.8,6.5,7.2,7.5,7.6,6.5,7.6,6.7,5.2,9.6,8.8,10.7,23.1,28,37.5,41.3,50.5,56.1,54.3,55.6,55.8,56.1,55.3,55.5,56.3,55.3,59,58.9,62.2,63.7,63,61.9,63.6,57.5,60.1,55.1,59,52.8,61.6,57.7,61.5,56.7,57.3,57.3,58.6,58.1,55.8,58.4
Sweden,^,^,^,^,0.1,0.1,0.1,1.5,2.1,2.1,12,16,19.9,23.8,21,26.5,37.7,39,41,50.9,58.6,70,67.4,69.4,65.6,68.2,76.8,63.5,61.4,73.2,69.9,74.3,69.9,73.6,73.2,57.3,72.1,68.1,67.4,77.7,72.7,67,67,63.9,52.2,57.7,60.5,64,66.5,64.9,56.3,63.1,65.7,68.5,67
Switzerland,-,-,-,-,0.5,1.8,1.4,3.8,6.3,7.1,7.8,7.9,8.1,8.4,11.8,14.3,15.3,15.1,15.7,18.4,22.4,22.4,22.8,22.6,22.7,23.5,22.8,23.3,23.2,24.2,24.7,25,25.2,25.7,24.8,26.3,26.6,27,27.3,26.8,23.2,27.6,27.7,27.5,27.5,26.5,26.9,25.6,26.2,27.8,23.3,21.3,20.5,24.4,23
Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.3,42.7,50.4,72,66.5,76.2,75.1,73.8,75.2,68.8,70.5,79.6,79.4,75.2,72.1,77.3,76.2,78,81.4,87,88.8,90.2,92.5,89.8,82.9,89.2,90.2,90.1,83.2,88.4,87.6,81,85.6,84.4,83
United Kingdom,15.1,20.2,23.3,26.2,29.1,26,27.5,29.4,28,33.6,30.3,36.2,40,37.2,38.3,37,38,44,49.9,54,61.1,59.1,55.2,63.5,71.7,65.7,70.5,76.8,89.4,88.3,89,94.7,98.1,99.5,95.1,85.1,90.1,87.8,88.7,80,81.6,75.5,63,52.5,69.1,62.1,69,70.4,70.6,63.7,70.3,71.7,70.3,65.1,56.2
Other Europe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,2.5,3.9,4.4,4.1,4,4.5,4.1,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,0.1,-,0.5,0.5,0.4,0.4,0.1,0.1,0.3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,99.3,105.2,124.7,134.8,136.3,118.3,120,119.6,119.2,97.8,99.5,109,108.5,103.7,121.9,130.7,136.9,141.6,150.3,144.7,149.4,156.4,160.1,163.1,163.6,170.4,172.9,177.5,172.5,180.8,195.5,196.6,203.1,204.6,209
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USSR,1.9,2.1,2.3,3.1,3.6,4.4,5.4,9.8,14.3,21.5,28.6,38.2,51,52.5,59.6,73.9,87.1,100.3,111.4,143.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Iran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,1.5,4.3,4.1,3.5,6.5,7,6.9,6.4
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,5.3,8.8,6.2,10.5,11.1,8.4,9.1,9.3,7.3,9.7,11.3,11.8,12.6,13.6,12.8,13,10.7,12,12.7,13.4,11.3,10,11.3,13,12.8,13.5,12.9,13,14.1,13.8,12.2,15.9,15.8,11.1,14.2
China,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,14.8,12.8,14.3,14.4,14.1,14.9,16.7,17.5,25.1,43.3,50.5,53.1,54.8,62.1,68.4,70.1,74.7,87.2,98.3,111.5,133.2,171.4,213.2,248.1,295,348.7
India,-,-,-,-,0.7,1.3,1,0.9,2,1.8,2.1,2.7,1.9,2.3,2.3,2.4,2.5,2.2,3.1,4,4.5,5,5.3,6.1,4,6.4,5.4,6.4,6.2,4.9,7.6,8.4,10.1,11.4,12.7,15.8,18.9,19.4,18.1,21.3,17.7,17.6,17.8,15.2,16.8,23.1,32.2,33.1,33.3,34.7,38.3,37.9,37.4,39.1,45.2
Indonesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Japan,^,0.6,0.6,1,1.1,4.6,8,9.5,9.7,19.7,25.1,34.1,31.7,59.3,70.4,82.6,87.8,102.4,114.3,134.3,159.6,165.4,188.6,173.9,185.8,194.6,208.7,217,247.7,258.2,286.9,296.5,321.2,326,317.2,319.1,320.5,314.3,230.1,285.9,293,304.3,279,251.7,274.7,292.4,162.9,18,14.6,-,4.5,17.7,29.1,49.1,65.6
Pakistan,-,-,-,-,-,-,^,0.2,0.4,0.5,0.6,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.3,0.2,0.1,0.4,0.4,0.6,0.4,0.6,0.5,0.3,0.5,0.4,0.1,0.9,2.1,1.9,1.9,2.4,2.5,2.5,2.3,1.7,2.5,2.5,3.9,2.7,7.1,4.4,4.4,5.4,7.9,9.8,9.5
South Korea,-,-,-,-,-,-,-,-,-,-,-,-,0.1,2.3,3.2,3.5,2.9,3.8,9,11.8,16.7,28.3,39.3,40.1,47.4,52.9,56.3,56.5,58.1,58.7,67,73.9,77.1,89.7,103.1,109,112.1,119.1,129.7,130.7,146.8,148.7,142.9,151,147.8,148.6,154.7,150.3,138.8,156.4,164.8,162,148.4,133.5,146
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,0.1,2.7,6.3,8.2,10.7,13.1,18.9,24.6,28.7,26.9,33.1,30.7,28.3,32.9,35.3,33.8,34.4,34.9,35.3,37.8,36.3,36.8,38.4,38.5,35.5,39.6,38.9,39.5,40,39.9,40.5,40.8,41.6,41.6,42.1,40.4,41.6,42.4,36.5,31.7,22.4,27.7,32.3
